date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:07	153/153	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jul%202019%2020:43:32%20GMT	https://web.archive.org/robots.txt		(from )
14:43:09	148591/148591	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202019%2020:43:34%20GMT	https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/	/var/www/html/equifaxWebSite/equifax17/web.archive.org/web/20170520044336/https_/www.equifax.com/personal/index.html	(from )
14:43:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2016%20Jul%202019%2020:43:35%20GMT	https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/products	/var/www/html/equifaxWebSite/equifax17/web.archive.org/web/20170520044336/https_/www.equifax.com/personal/products	(from https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/)
14:43:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2016%20Jul%202019%2020:43:35%20GMT	https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/products	/var/www/html/equifaxWebSite/equifax17/web.archive.org/web/20170520044336/https_/www.equifax.com/personal/products	(from https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/)
14:43:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2016%20Jul%202019%2020:43:36%20GMT	https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/products	/var/www/html/equifaxWebSite/equifax17/web.archive.org/web/20170520044336/https_/www.equifax.com/personal/products	(from https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/)
14:43:12	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2016%20Jul%202019%2020:43:37%20GMT	https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/understanding-credit	/var/www/html/equifaxWebSite/equifax17/web.archive.org/web/20170520044336/https_/www.equifax.com/personal/understanding-credit	(from https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/)
14:43:13	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2016%20Jul%202019%2020:43:38%20GMT	https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/identity-theft-protection	/var/www/html/equifaxWebSite/equifax17/web.archive.org/web/20170520044336/https_/www.equifax.com/personal/identity-theft-protection	(from https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/)
14:43:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2016%20Jul%202019%2020:43:39%20GMT	https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/identity-theft-victim-assistance	/var/www/html/equifaxWebSite/equifax17/web.archive.org/web/20170520044336/https_/www.equifax.com/personal/identity-theft-victim-assistance	(from https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/)
14:43:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2016%20Jul%202019%2020:43:40%20GMT	https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/buying-a-car-or-home	/var/www/html/equifaxWebSite/equifax17/web.archive.org/web/20170520044336/https_/www.equifax.com/personal/buying-a-car-or-home	(from https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/)
14:43:16	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2016%20Jul%202019%2020:43:41%20GMT	https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/education/credit/report	/var/www/html/equifaxWebSite/equifax17/web.archive.org/web/20170520044336/https_/www.equifax.com/personal/education/credit/report	(from https://web.archive.org/web/20170520044336/https://www.equifax.com/personal/)
